Generations,Popsize,Neutral,Deleterious,Beneficial
646,9950,6855,7150,851
647,9672,6855,7151,838
648,9801,6882,7145,844
649,9782,6815,7168,850
650,9751,6772,7156,834
651,9915,6804,7180,837
652,9796,6786,7180,846
653,9673,6737,7162,837
654,9785,6783,7082,823
655,9713,6786,7084,812
656,9822,6849,7141,829
657,9780,6832,7138,810
658,9699,6830,7164,821
659,9892,6870,7235,847
660,9961,6808,7184,845
661,9851,6804,7139,848
662,9833,6830,7161,842
663,9884,6856,7126,836
664,9811,6833,7083,860
665,9691,6804,7071,852
666,9779,6834,7038,846
667,9882,6876,7087,833
668,9725,6838,7056,836
669,9787,6838,7080,834
670,9748,6882,7074,832
671,9837,6918,7138,825
672,9931,6883,7111,829
673,9886,6890,7073,827
674,9736,6852,7096,834
675,9922,6913,7116,817
676,9739,6901,7133,802
677,9893,6940,7179,805
678,9844,6930,7188,815
679,9897,6933,7208,813
680,9752,6939,7255,824
681,9840,6965,7215,843
682,9977,6968,7260,848
683,9767,6961,7234,843
684,9783,6980,7228,851
685,9874,6972,7269,850
686,9948,6961,7300,852
687,9951,6966,7340,852
688,9834,6959,7276,819
689,9742,6944,7247,807
690,9826,6908,7274,810
691,9846,6923,7260,829
692,9837,6979,7202,849
693,9828,6990,7207,841
694,9860,7006,7200,848
695,9721,6989,7171,840
696,9806,7034,7153,840
697,9783,7019,7185,850
698,9738,6946,7186,842
699,9854,6957,7242,844
700,9745,6926,7252,845
701,9832,6939,7250,853
702,9810,6961,7236,832
703,9815,6938,7190,833
704,9789,6849,7170,851
705,9888,6877,7143,853
706,9688,6861,7127,839
707,9770,6855,7131,836
708,9891,6899,7151,835
709,9795,6875,7158,859
710,9733,6871,7178,846
711,9640,6878,7176,833
712,9931,6931,7201,834
713,9832,6909,7167,833
714,9814,6912,7224,833
715,9793,6964,7220,838
716,9704,6960,7183,847
717,9919,6965,7209,846
718,9753,6962,7218,847
719,9786,6959,7220,853
720,9777,6938,7227,837
721,9828,6887,7217,837
722,9800,6920,7232,864
723,9653,6901,7224,852
724,9811,6909,7255,858
725,9694,6908,7294,864
726,9811,6929,7347,862
727,9945,6947,7317,859
728,9956,6955,7356,847
729,9712,6950,7278,836
730,9761,6992,7283,849
731,9847,6980,7292,841
732,9666,6970,7293,848
733,9791,6983,7325,841
734,9771,7037,7287,850
735,9777,7029,7273,856
736,9782,7052,7305,849
737,9903,7074,7335,855
738,9739,7036,7341,857
739,9840,7049,7326,853
740,9855,7016,7331,853
741,9735,7023,7339,861
742,9779,7033,7308,867
743,9929,6968,7308,868
744,9802,6929,7289,875
745,9707,6932,7258,885
746,9853,6881,7308,891
747,9832,6867,7322,868
748,9794,6841,7321,874
749,10019,6913,7357,867
750,9779,6921,7319,871
751,9688,6925,7324,847
752,9682,6894,7353,855
753,9873,6923,7424,863
754,9830,6937,7409,857
755,9847,6951,7434,856
756,9899,6960,7397,843
757,9868,6986,7383,826
758,9909,7015,7423,845
759,9829,6985,7391,857
760,9837,7029,7442,861
761,9798,7033,7431,860
762,9750,7051,7438,856
763,9898,7059,7464,849
764,9894,7082,7516,853
765,9881,7100,7489,874
766,10024,7142,7500,874
767,9788,7094,7426,875
768,9930,7134,7373,865
769,9882,7128,7364,877
770,9791,7116,7375,866
771,9784,7081,7373,869
772,9845,7003,7374,861
773,9867,7055,7401,880
774,9865,7034,7374,874
775,9718,7053,7300,862
776,9675,7004,7328,885
777,9960,7025,7336,879
778,9729,6940,7332,880
779,9798,7004,7325,890
780,9899,7022,7303,880
781,9770,6948,7254,880
782,9764,6975,7235,883
783,9866,6962,7285,882
784,9897,6935,7325,887
785,9742,6890,7303,863
786,9789,6885,7291,865
787,9755,6882,7307,874
788,9832,6923,7316,881
789,9866,6870,7360,888
790,9786,6909,7382,883
791,9768,6886,7342,875
792,9776,6892,7311,879
793,9828,6954,7322,874
794,9757,6962,7321,876
795,9854,6952,7331,865
796,9831,6929,7358,872
797,9918,6965,7315,871
798,9587,6986,7258,868
799,9799,6934,7218,871
800,9723,6958,7243,869
801,9850,6984,7245,870
802,9764,6989,7265,856
803,9847,7014,7292,859
804,9939,7030,7305,850
805,9912,7016,7338,868
806,9888,7073,7355,872
807,9731,7083,7315,874
808,9935,7117,7386,883
809,9869,7070,7360,869
810,9780,7059,7409,867
811,9722,7072,7405,866
812,9747,7039,7357,868
813,9766,7056,7391,866
814,9853,7025,7398,848
815,9857,7012,7425,853
816,9825,7046,7441,856
817,9804,7090,7417,862
818,9667,7046,7376,851
819,9716,7024,7478,852
820,9871,7055,7509,862
821,9932,7072,7482,872
822,9798,7068,7462,876
823,9791,7067,7438,891
824,9752,7104,7434,867
825,9818,7104,7416,879
826,9736,7062,7403,892
827,9829,7041,7377,888
828,9798,7018,7405,891
829,9784,6983,7390,878
830,9835,6961,7390,880
831,9626,6965,7409,890
832,9725,6949,7368,871
833,9816,6959,7373,882
834,9859,6956,7348,875
835,9932,6965,7374,869
836,9940,6982,7404,877
837,9770,6976,7344,880
838,9646,6937,7304,861
839,9701,6951,7328,865
840,9866,6981,7306,872
841,9893,7001,7329,875
842,9687,6959,7274,870
843,9855,6978,7250,879
844,9746,6966,7224,884
845,9821,6976,7186,896
846,9807,6985,7230,910
847,9840,6954,7250,903
848,9784,6963,7228,885
849,9825,6972,7230,878
850,9705,6926,7183,870
851,9724,6916,7206,860
852,9748,6908,7206,866
853,9869,6914,7257,857
854,9850,6896,7279,850
855,9702,6892,7334,850
856,9829,6935,7337,872
857,9866,6965,7362,875
858,9824,6914,7334,867
859,9763,6954,7344,872
860,9801,6955,7294,877
861,9783,6941,7260,868
862,9739,6917,7284,876
863,9816,6953,7235,870
864,9767,6968,7241,865
865,9826,6960,7217,881
866,9795,6938,7220,870
867,9777,6932,7208,870
868,9840,6935,7297,880
869,9806,6934,7258,876
870,9729,6947,7206,895
871,9738,6929,7220,888
872,9838,6942,7267,884
873,9901,6915,7244,896
874,9805,6931,7288,883
875,9845,6938,7294,894
876,9727,6958,7201,889
877,9768,6992,7133,896
878,9728,6966,7124,911
879,9883,7061,7166,916
880,9830,7043,7179,897
881,9842,7039,7176,893
882,9744,7023,7212,885
883,9873,7050,7234,899
884,9691,7036,7236,875
885,9854,7060,7255,895
886,9775,7037,7227,904
887,9932,7044,7292,922
888,9767,7060,7280,924
889,9841,7063,7239,914
890,9753,7048,7231,909
891,9774,7058,7269,895
892,9716,7056,7252,889
893,9861,7021,7343,905
894,9863,7037,7312,887
895,9804,7028,7290,887
896,9769,7031,7281,903
897,9838,7016,7281,904
898,9826,7037,7283,903
899,9893,7046,7307,878
900,9890,7068,7301,890
901,9837,7079,7330,879
902,9962,7066,7310,879
903,9839,7046,7284,872
904,9890,7022,7265,876
905,9813,7078,7305,870
906,9824,7107,7293,882
907,9760,7129,7234,879
908,9817,7136,7205,856
909,9768,7072,7176,860
910,9736,7067,7206,860
911,9885,7112,7286,867
912,9767,7101,7267,860
913,9844,7129,7312,853
914,9714,7097,7335,847
915,9922,7120,7346,853
916,9917,7091,7364,849
917,9860,7023,7334,846
918,9716,7040,7250,856
919,9668,7046,7190,851
920,9745,7061,7207,858
921,9846,7083,7199,848
922,9732,7056,7215,846
923,9815,7077,7243,853
924,9841,7104,7289,859
925,9825,7126,7307,872
926,9919,7132,7292,872
927,9785,7150,7315,885
928,9869,7177,7308,890
929,9828,7174,7300,886
930,9850,7210,7302,871
931,9892,7192,7308,869
932,9802,7179,7358,856
933,9754,7167,7397,849
934,9864,7184,7433,855
935,9759,7205,7381,857
936,9934,7214,7405,855
937,9693,7171,7386,851
938,9711,7208,7384,846
939,9718,7192,7411,860
940,9856,7204,7451,854
941,9797,7181,7419,845
942,9813,7215,7468,832
943,9799,7195,7453,841
944,9817,7179,7436,845
945,9793,7190,7427,852
946,9758,7161,7444,860
947,9839,7215,7453,861
948,9802,7258,7415,858
949,9672,7191,7406,862
950,9870,7212,7490,857
951,9917,7216,7513,871
952,9855,7197,7488,872
953,9764,7208,7515,867
954,9735,7224,7472,866
955,9806,7251,7492,879
956,9886,7227,7460,882
957,9863,7224,7481,878
958,9728,7225,7431,874
959,9936,7236,7493,882
960,9845,7220,7484,878
961,9946,7253,7524,870
962,9855,7313,7588,855
963,9864,7311,7566,866
964,9832,7270,7584,880
965,9912,7287,7598,874
966,9834,7261,7615,877
967,9802,7279,7617,886
968,9850,7272,7598,894
969,9764,7315,7569,884
970,9797,7275,7540,882
971,9779,7316,7549,877
972,9806,7313,7541,879
973,9767,7213,7586,888
974,9864,7224,7556,871
975,9805,7187,7587,859
976,9715,7150,7560,873
977,9846,7224,7576,889
978,9772,7222,7599,891
979,9908,7218,7624,887
980,9803,7230,7576,877
981,9909,7262,7581,877
982,9654,7198,7518,863
983,9792,7200,7503,868
984,9773,7193,7500,863
985,9879,7204,7498,876
986,9890,7216,7549,884
987,9731,7213,7580,903
988,9774,7282,7623,890
989,9650,7221,7576,883
990,9772,7266,7597,879
991,9835,7308,7664,887
992,9759,7275,7641,899
993,9731,7266,7604,885
994,9763,7220,7582,898
995,9841,7214,7594,891
996,9838,7188,7595,890
997,9831,7203,7608,902
998,9761,7208,7630,911
999,9791,7128,7559,912
1000,9721,7088,7553,912
1001,9807,7116,7576,909
1002,9859,7195,7565,895
1003,9852,7193,7613,898
1004,9848,7188,7619,909
1005,9659,7166,7504,924
1006,9881,7168,7515,911
1007,9780,7171,7511,900
1008,9765,7170,7491,908
1009,9868,7171,7532,914
1010,9900,7193,7529,902
1011,9768,7182,7521,902
1012,9780,7176,7463,907
1013,9784,7234,7490,908
1014,9805,7219,7546,915
1015,9870,7147,7536,916
1016,9771,7154,7536,906
1017,9788,7148,7572,907
1018,9809,7123,7537,918
1019,9792,7145,7514,918
1020,9855,7181,7509,910
1021,9773,7201,7504,918
1022,9846,7194,7491,914
1023,9872,7149,7498,918
1024,9899,7115,7468,905
1025,9899,7134,7455,899
1026,9792,7147,7510,893
1027,9887,7142,7535,890
1028,9837,7179,7506,903
1029,9792,7161,7469,901
1030,9844,7206,7496,911
1031,9657,7251,7518,912
1032,9806,7225,7512,913
1033,9787,7234,7492,888
1034,9786,7253,7491,885
1035,9881,7290,7472,893
1036,9843,7274,7450,886
1037,9710,7282,7464,890
1038,9834,7302,7495,900
1039,9715,7261,7531,896
1040,9653,7234,7461,899
1041,9879,7308,7495,906
1042,9907,7297,7554,902
1043,9773,7293,7553,913
1044,9850,7315,7598,913
1045,9773,7312,7548,901
1046,9733,7288,7517,911
1047,9851,7308,7553,906
1048,9807,7293,7531,903
1049,9783,7296,7537,905
1050,9817,7319,7559,914
1051,9888,7262,7566,918
1052,9850,7255,7596,925
1053,9704,7230,7544,912
1054,9732,7236,7578,906
1055,9685,7212,7529,921
1056,9845,7187,7583,924
1057,9762,7254,7542,922
1058,9789,7269,7560,911
1059,9650,7257,7581,910
1060,9794,7234,7585,910
1061,9726,7218,7584,916
1062,9824,7215,7503,905
